"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
1,"Chile","Salar de Atacama (SQM)","Brine",-23.55,-68.36,"Producing","Open",0.2,0.186341463414634,0.13,TRUE,360,7840,0,8200,51066.2005,51211.2682183842,51809.6725567187,246,61.5,56955.8377136237,0,"Report",27.1428571428571,31.4285714285714,39.4514371594965,39.4514371594965,3,"Brine",27.4,2.38,0.27,21238.77,21461.9511052064,22382.5731641827,"Salar de Atacama"
2,"Bolivia","Salar de Uyuni","Brine",-20.16,-67.63,"Producing","Open",NA,NA,NA,TRUE,5400,0,0,5400,49440.1922566318,51568.2875970975,53737.5718391745,54,13.5,56955.8377136237,0,"Quantile",0,0,0,0,3,"Brine",48.3,2.78,0.25,24045.9896755091,26883.4501294634,29775.8291188993,"Salar de Uyuni"
3,"United States","Salton Sea (All)","Brine",33.163,-115.617,"No info","No Info",NA,0.0198,0.0198,FALSE,0,3360,0,3360,46438.5951921589,47625.8755714678,51129.3876408788,100.8,25.2,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Geothermal)",16,2.54,0.25,23592.5269228785,25175.5674286237,29846.9168545051,"Salton Sea"
4,"Germany","Upper Rhine Valley","Brine",49.154,8.153,"Evaluation","Evaluation",NA,0.0178563250066673,0.0172,FALSE,106.899296155929,2006.4753654575,0,2113.37466161343,59014.5533144894,61268.3000520577,61275.8071182513,63.4012398484028,15.8503099621007,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Other (Geothermal)",20.3,1.89,0.3,23472.2190206992,26691.8572172253,26702.5815975019,"Upper Rhine Valley"
5,"Argentina","Cauchari","Brine",-23.7,-66.75,"Producing","Open",0.0607,0.0591820950746709,0.0592,TRUE,682.92,3046.78,0,3729.7,54303.1569738201,54319.2786866307,58337.1771983124,37.297,9.32425,56955.8377136237,0,"Report",1.92408759124088,2.8029197080292,7.51455945895172,7.51455945895172,3,"Brine",41,2.51,0.35,21305.1645751079,21329.967210201,27511.3495358652,"Cauchari"
6,"Tanzania","Titan","Volcano-Sedimentary",-4.33,37.54,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,58151.6944618064,61722.4870097457,69645.7228645853,0,0,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",45.5,2.77,0.3,32885.5635168663,37986.6957282081,49305.6040922647,"Titan"
7,"Argentina","Salar de Olaroz (Allkem)","Brine",-23.46,-66.73,"Producing","Open",NA,0.0642307958477509,0.0609,TRUE,0,2890,0,2890,53661.1776908924,56104.5977813184,56139.9742618818,86.7,21.675,56955.8377136237,0,"Report",1.20255474452555,1.75182481751825,4.69659966184482,7.9842194251362,3,"Brine",41,2.51,0.35,20317.5041398344,24076.6119712591,24131.037325972,"Salar de Olaroz (Allkem)"
8,"United States","McDermitt","Volcano-Sedimentary",42.0357,-118.05263,"No info","No Info",NA,0.142,0.127,FALSE,0,2085.38170005414,0,2085.38170005414,52298.6187494657,60825.0550330252,64605.7433009147,62.5614510016243,15.6403627504061,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",16,2.54,0.25,31462.6703326209,42831.2520440336,47872.1697345529,"McDermitt"
9,"United States","Thacker Pass","Volcano-Sedimentary",41.713456,-118.074509,"Construction","Construction",0.316,0.211086956521739,0.187,TRUE,695.127233351381,2329.61559285328,0,3024.74282620466,57437.8315,67072.8723138989,69733.5560771135,90.7422847861397,22.6855711965349,82730.3782542635,0,"Report",0,0,0,14.2776629720083,5,"Volcano-Sedimentary",16,2.54,0.25,38314.954,51161.6750851986,54709.2534361514,"Thacker Pass"
10,"United States","Bonnie Claire","Hard Rock",37.2287,-117.04309,"Evaluation","Evaluation",NA,NA,0.1013,FALSE,0,0,0,0,53672.2534705,60975.8793159793,64201.6259615352,0,0,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Other (In Situ)",16,2.54,0.25,33294.183294,43032.3510879724,47333.3466153802,"Bonnie Claire"
11,"DR Congo","Manono-Kitotolo","Hard Rock",-7.28,27.45,"Evaluation","Evaluation",0.733949129852744,0.76641405771786,0.771111111111111,FALSE,682.85140562249,1378.94176706827,0,2061.79317269076,55108.9249421642,59283.7971949133,64932.470199743,103.089658634538,25.7724146586345,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",63.8,4.48,0.3,27778.3213459488,33742.4245641619,41811.9574282043,"Manono-Kitotolo"
12,"Argentina","Salar del Hombre Muerto (POSCO)","Brine",-25.22,-66.96,"Construction","Construction",NA,NA,NA,TRUE,2539.4688684353,0,0,2539.4688684353,52072.8473781049,53053.7162186556,55858.1284932011,25.394688684353,6.34867217108825,56955.8377136237,0,"Report",0,0,0,0,5,"Brine",41,2.51,0.35,17873.9190432383,19382.948028701,23697.4284510787,"Salar del Hombre Muerto (POSCO)"
