"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
72,"Russia","Kolmorzerskoe","Hard Rock",67.959,37.118,"No info","No Info",NA,NA,NA,FALSE,0,0,288.208512,288.208512,57967.0611854892,65697.0938691623,68482.3386542558,14.4104256,3.6026064,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33285.9482473189,43592.6584922164,47306.3182056743,"",80
73,"United States","Paradox","Brine",38.57,-109.72,"No info","No Info",NA,0.0123,0.0109,FALSE,0,68.9032932995411,213.656533446534,282.559826746075,44403.9847769865,47370.8327208939,47387.9897683566,8.47679480238224,2.11919870059556,56955.8377136237,199701729.182192,"Report",0,0,0,0,10,"Brine",16,2.54,0.25,20028.0330359819,23983.8302945252,24006.7063578088,"",16.5
74,"Chile","Salar de Aguilar","Brine",-25.81,-68.9,"No info","No Info",NA,NA,0.0284,FALSE,0,0,282.296,282.296,52414.6780277585,55118.4048384927,56390.7465475749,2.82296,0.70574,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23313.3508119361,27472.930520758,29430.3793039614,"",40.3
75,"Zimbabwe","Kamativi","Hard Rock",-18.33,27.07,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,280.20272,280.20272,57701.0204608333,66912.3951116165,68215.977062367,14.010136,3.502534,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",45.5,3.38,0.25,34350.6939477778,46632.5268154886,48370.636083156,"",80
76,"Namibia","Uis","Hard Rock",-21.22,14.88,"No info","No Info",NA,0.336592595873691,0.339103078982597,FALSE,0,126.350736278447,146.325301204819,272.676037483266,59262.384428419,64520.5710206015,68820.6788245626,13.6338018741633,3.40845046854083,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",38.6,1.94,0.32,33920.5653359103,41653.1926773551,47976.8806243568,"",80
77,"Canada","James Bay","Hard Rock",52.29,-77.1,"Evaluation","Evaluation",0.603882195448461,0.650334672021419,0,FALSE,224.6906291834,37.3942436412316,0,262.084872824632,47631.8007850232,53454.3122816,71938.7116484344,13.1042436412316,3.2760609103079,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,26421.63372112,34343.418070204,59492.2607461692,"",22.3
78,"Canada","Whabouchi","Hard Rock",51.69,-75.84,"Evaluation","Evaluation",0.603882195448461,NA,NA,FALSE,221.020883534137,0,39.2974098650635,260.3182933992,52540.9690366348,60775.2267000582,62874.4656255537,13.01591466996,3.25397866749,19102.9684159287,126053693.925837,"Regression",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,33100.7741995032,44303.8458504193,47159.9532320458,"",22.3
79,"China","Yichun 414","Hard Rock",27.59,114.39,"Producing","Open",NA,NA,NA,TRUE,0,0,255.989564658635,255.989564658635,58998.3025503968,65281.5223963289,69559.9488499393,12.7994782329317,3.19986955823293,19102.9684159287,0,"Quantile",2.71702451039222,3.96733667446652,3.96733667446652,3.96733667446652,3,"Hard Rock",22.1,2.94,0.25,36080.4034005291,44458.0298617719,50162.5984665857,"",19
80,"United States","Rhyolite Ridge","Volcano-Sedimentary",37.831711,-117.895265,"Evaluation","Evaluation",0.1797,0.159573885848319,0.16,FALSE,108.1794,95.2111020352781,31.0094979647218,234.4,39528.85765594,47139.2384814844,51810.0988523282,7.032,1.758,82730.3782542635,2.5e+08,"Report",0,0,0,0,8,"Volcano-Sedimentary",16,2.54,0.25,14436.32220792,24583.4966419792,30811.310469771,"",16.5
81,"Ethiopia","Kenticha","Hard Rock",5.45,39.02,"No info","No Info",NA,NA,NA,FALSE,0,0,228.75190648,228.75190648,61669.0417311569,66895.4764528216,71516.3191676327,11.437595324,2.859398831,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",52,4.54,0.3,34868.6310445099,42334.9663611737,48936.1702394752,"",80
82,"United States","Smackover SWA","Brine",33.243,-93.455,"No info","No Info",NA,NA,NA,FALSE,0,0,224.66,224.66,44565.9451713035,46176.153999681,49163.8022941783,2.2466,0.56165,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",16,2.54,0.25,23727.6663395157,25874.6114440191,29858.1425033488,"",16.5
83,"China","Huaqiao Dagang","Hard Rock",28.36,114.55,"Producing","Open",0.236907630522088,NA,NA,TRUE,113.111785100402,104.652287429719,0,217.76407253012,67406.930139277,73709.5180287797,77913.8207620774,10.888203626506,2.72205090662651,19102.9684159287,0,"Regression",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,47291.9068523693,55695.3573717062,61301.0943494365,"",19
84,"United States","Plumbago North","Hard Rock",44.54472,-70.74361,"No info","No Info",NA,NA,NA,FALSE,0,0,217.584432,217.584432,54756.1130867057,59529.0076733657,65265.7906861703,10.8792216,2.7198054,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16,2.54,0.25,34398.657448941,40762.5168978209,48411.5609148938,"",16.5
85,"Ghana","Ewoyaa","Hard Rock",5.23,-1.03,"Evaluation","Evaluation",0.566720214190094,0.587623828647925,0.518409638554217,FALSE,145.080374832664,17.0440172743705,42.8471607711448,204.971552878179,50442.8928702852,54387.4494486293,56394.8659979429,10.248577643909,2.56214441097724,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",40,2.57,0.25,24673.1904937136,29932.599264839,32609.1546639239,"",60.7
86,"China","Jiajika","Hard Rock",30.33,101.316,"Producing","Open",NA,NA,NA,TRUE,0,0,204.147696,204.147696,58245.2642944117,62913.432787162,68767.4486771292,10.2073848,2.5518462,19102.9684159287,0,"Quantile",1.69290032332398,2.47193410042882,2.47193410042882,2.47193410042882,3,"Hard Rock",22.1,2.94,0.25,35076.3523925489,41300.5770495493,49105.9315695057,"",19
87,"Austria","Wolfsberg/Koralpe","Hard Rock",46.84,14.99,"Evaluation","Evaluation",NA,0.529558232931727,0.362329317269076,FALSE,0,36.2370608359363,167.596406366206,203.833467202142,52005.0165976925,58224.9940850296,63139.7964822754,10.1916733601071,2.54791834002677,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",21.3,1.86,0.24,33407.9165759113,41592.0974803021,48058.942739836,"",27.9
88,"Brazil","Grota do Cirilo (Barreiro)","Hard Rock",-16.74,-41.9,"Evaluation","Evaluation",0.631753681392236,0.642828268208516,0.645689424364123,FALSE,137.127937195452,23.9537087168382,24.7051976177585,185.786843530049,57026.108096,61651.9438310627,66290.9102961539,9.28934217650244,2.32233554412561,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",40.9,2.83,0.34,27930.8456,34939.6876228223,41968.4246911422,"",56.2
89,"Brazil","Grota do Cirilo (NDC)","Hard Rock",-16.74,-41.9,"No info","No Info",NA,0.690987364471499,0.687496653279786,FALSE,0,161.006497022198,24.2355170546833,185.242014076881,60906.8262342569,65813.024636876,65902.1166863091,9.26210070384407,2.31552517596102,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,33810.7215670559,41244.3555104181,41379.3434641047,"",56.2
90,"Canada","Rocky","Brine",52.153,-114.74,"No info","No Info",NA,NA,0.00529,FALSE,0,0,174.721169463996,174.721169463996,45381.2653466191,47447.7113076927,49518.5744464173,1.74721169463996,0.436802923659989,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23359.6807436995,26171.171847201,28988.672716214,"",22.3
91,"Chile","Francisco Basin","Brine",-27.49,-69.2,"Evaluation","Evaluation",NA,0.0221,0.0195,FALSE,0,82.6637791012453,90.1786681104494,172.842447211695,52327.6683518267,55280.838509847,55308.4531862394,5.18527341635084,1.29631835408771,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,8,"Brine",27.4,2.38,0.27,23179.489772041,27722.8284766877,27765.3125942145,"",40.3
92,"Argentina","Candelas","Brine",-25.53,-66.88,"Evaluation","Evaluation",NA,0.0672,0,FALSE,0,167,0,167,55948.52183905,57807.0841304728,58520.8173049228,1.67,0.4175,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,23836.495137,26695.8217391889,27793.8727768043,"",64.1
93,"Zimbabwe","Bikita","Hard Rock",-20.09,31.6,"Producing","Open",NA,NA,NA,TRUE,0,0,159.863318072289,159.863318072289,57485.4242936011,62898.4059047309,67997.118524317,7.99316590361446,1.99829147590361,19102.9684159287,0,"Quantile",0.563457330415755,1.85995623632385,6.38737554010896,6.38737554010896,3,"Hard Rock",45.5,3.38,0.25,34063.2323914681,41280.5412063079,48078.8246990894,"",80
94,"Mali","Bougouni","Hard Rock",11.1,-7.43,"Construction","Construction",NA,0.520267737617135,0.473815261044177,TRUE,0,59.9236947791165,96.203078982597,156.126773761714,54782.7689628328,61835.0783905823,63148.9257858109,7.80633868808568,1.95158467202142,19102.9684159287,0,"Report",0,0,0,0,5,"Hard Rock",47.1,4.98,0.2686,31438.0817101898,41080.2876546107,42876.6335600368,"",80
95,"Brazil","Grota de Cirilo ( Xuxa)","Hard Rock",-16.74,-41.9,"Producing","Open",0.720013386880857,0.720059358742512,0.733949129852744,TRUE,84.8243096913914,40.4676773145642,27.9178126691933,153.209799675149,56505.689032,63173.226283149,65749.4846061329,19.777569040015,4.94439226000376,19102.9684159287,0,"Report",2.08508531772353,3.88475971743168,17.9633665226376,19.777569040015,3,"Hard Rock",40.9,2.83,0.34,27142.3318666667,37244.6610350743,41148.082736565,"Grota de Cirilo ( Xuxa)",56.2
96,"Australia","Manna","Hard Rock",-30.87,122.53,"No info","No Info",NA,0.478460508701473,0.450589022757697,FALSE,0,87.8023597419983,64.6964755993672,152.498835341365,60931.4700438648,68176.7959501617,68931.2612304406,7.62494176706827,1.90623544176707,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,33814.9572055211,44165.4227859452,45243.2303292009,"",18.1
97,"Namibia","Karibib","Hard Rock",-22.1,15.97,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,150,150,61317.4039796801,70280.5388967145,70871.1619329219,7.5,1.875,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",38.6,1.94,0.32,36942.6529112943,50123.733671639,50992.2969601792,"",80
98,"Chile","Salar de Pajonales","Brine",-25.13,-68.8,"No info","No Info",NA,NA,0.0127,FALSE,0,0,149.974,149.974,52432.2495588602,53536.6614110339,56107.2418385223,1.49974,0.374935,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23340.383936708,25039.4790938983,28994.2182131112,"",40.3
99,"United States","Carolina Lithium","Hard Rock",35.368879,-81.314732,"Evaluation","Evaluation",NA,0.538848728246319,0.49239625167336,FALSE,0,71.5118394725857,72.0263131378561,143.538152610442,41998.73615,50473.7205627696,51820.9799918392,7.17690763052209,1.79422690763052,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",16,2.54,0.25,20511.6482,31811.6274170262,33607.9733224523,"Carolina Lithium",16.5
100,"Chile","Salar de Huasco","Brine",-20.3,-68.85,"No info","No Info",NA,NA,0.0075,FALSE,0,0,141.001674607472,141.001674607472,53109.0398023677,55923.1422501646,56731.9100345474,1.41001674607472,0.352504186518679,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,24381.5996959502,28710.9880771763,29955.2462069959,"",40.3
101,"Canada","Rose","Hard Rock",52.02,-76.16,"Evaluation","Evaluation",0.404136546184739,0.432008032128514,0.362329317269076,FALSE,90.0248995983936,42.0011537426471,8.63785228144922,140.66390562249,53456.562849,58133.3038947314,60113.7752554636,7.0331952811245,1.75829882028112,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,34346.4800666667,40709.3930540563,43403.9119121954,"",22.3
102,"Russia","Zavantinskoe","Hard Rock",51.619,115.61,"No info","No Info",NA,NA,NA,FALSE,0,0,140.10136,140.10136,59928.7138447936,64651.0465628831,70481.0301401547,7.005068,1.751267,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,35901.4851263915,42197.9287505108,49971.240186873,"",80
103,"Russia","Ulug-Tanzek","Hard Rock",50.65,96.32,"No info","No Info",NA,NA,NA,FALSE,0,0,139.100636,139.100636,58096.7349720043,64083.5105271492,68607.0731159317,6.9550318,1.73875795,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33458.846629339,41441.2140361989,47472.6308212423,"",80
104,"Russia","Urikskoe","Hard Rock",52.57,101.32,"No info","No Info",NA,NA,NA,FALSE,0,0,139.100636,139.100636,58168.4486534757,64413.1551324355,68684.9278888057,6.9550318,1.73875795,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33554.464871301,41880.7401765806,47576.4371850742,"",80
105,"Russia","Goltsovoe/Goltsovoya","Hard Rock",52.979,101.18,"No info","No Info",NA,NA,NA,FALSE,0,0,139.100636,139.100636,60115.7641753435,66295.0905236915,70655.7591149566,6.9550318,1.73875795,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,36150.8855671246,44389.987364922,50204.2121532755,"",80
106,"Russia","Polmostundrovskoe","Hard Rock",68.276,35.907,"No info","No Info",NA,NA,NA,FALSE,0,0,139.100636,139.100636,58782.3120404993,64373.7706898113,69339.3535349286,6.9550318,1.73875795,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,34372.9493873324,41828.2275864151,48449.0047132382,"",80
107,"Portugal","Mina Do Barroso","Hard Rock",41.630187,-7.80187,"Evaluation","Evaluation",NA,0.481901972221873,0.510977242302544,FALSE,0,88.9100401606426,47.3815261044177,136.29156626506,52325.9331706314,59266.7936656303,63406.0969477881,6.81457831325301,1.70364457831325,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",23.5,1.64,0.21,33893.0799628245,42678.9793235826,47918.6037313774,"",34.9
108,"Canada","Yellowknife","Hard Rock",62.53,-114.15,"No info","No Info",NA,NA,NA,FALSE,0,0,130.09412,130.09412,54414.234492323,59476.6736540441,64717.3919887201,6.504706,1.6261765,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,35649.4346834327,42537.1070123048,49667.3360390749,"",22.3
109,"Brazil","Mibra/Volta Grande","Hard Rock",-21.09,-44.59,"Producing","Open",NA,0.491860328131342,0.478460508701473,TRUE,0,99.7312267818709,20.2017282382094,119.93295502008,61720.8772914399,68149.6545880938,68491.6529114943,5.99664775100402,1.499161937751,19102.9684159287,0,"Quantile",0.420619444812948,0.783663604404351,3.62370843509299,3.62370843509299,3,"Hard Rock",40.9,2.83,0.34,35044.1322597575,44784.7039213542,45302.8831992338,"Mibra/Volta Grande",56.2
110,"Australia","Bald Hill","Hard Rock",-31.51,122.18,"Producing","Open",0.469170013386881,0.469170013386881,0.418072289156627,TRUE,53.0022757697457,15.3757697456493,50.1686746987952,118.54672021419,64078.1241276672,70421.2769454389,71804.463292617,5.9273360107095,1.48183400267738,19102.9684159287,0,"Regression",0,0,0,0,3,"Hard Rock",18.8,1.57,0.3,38310.1773252388,47371.8242077698,49347.8047037385,"",18.1
111,"Argentina","Sal de Puna","Brine",-24.56,-66.63,"Evaluation","Evaluation",NA,NA,0.046,FALSE,0,0,106,106,55756.2666504662,57381.3997388143,59657.365364766,1.06,0.265,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,8,"Brine",41,2.51,0.35,23540.7179237942,26040.9226750989,29542.4082534861,"",64.1
112,"Canada","Moblan","Hard Rock",50.73,-74.88,"No info","No Info",0.650334672021419,0.631593500438536,0.617817938420348,FALSE,69.5347121820616,15.4290534687771,14.6489251122136,99.6126907630522,51220.6547961467,51753.3333000678,52144.8747644884,4.98063453815261,1.24515863453815,19102.9684159287,126053693.925837,"Regression",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,31304.4282940771,32029.1609524731,32561.8704278753,"",22.3
113,"Zimbabwe","Zulu","Hard Rock",-20.03,29.4,"Producing","Open",NA,NA,0.49239625167336,TRUE,0,0,99.0343574297189,99.0343574297189,59599.8397076917,63571.5792229948,70108.1042936943,4.95171787148594,1.23792946787149,19102.9684159287,0,"Quantile",0.105267087141202,0.347483588621444,1.19331204208153,2.34153672740936,3,"Hard Rock",45.5,3.38,0.25,36882.452943589,42178.1056306597,50893.4723915924,"",80
114,"Chile","Salar de Ascotan","Brine",-21.48,-68.39,"No info","No Info",NA,NA,0.029,FALSE,0,0,96.9894120194911,96.9894120194911,52782.2421593641,54850.3445444755,56404.814902019,0.969894120194911,0.242473530048728,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23878.8340913293,27060.5300684239,29452.0229261831,"",40.3
115,"Australia","Marble Bar","Hard Rock",-21.1,119.85,"No info","No Info",NA,0.450589022757697,0.469170013386881,FALSE,0,18.6098943923844,65.1346303733452,83.7445247657296,61401.3278474527,65542.1831100903,71231.9256393351,4.18722623828648,1.04680655957162,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,34486.1826392181,40401.6901572719,48529.8937704787,"",18.1
116,"China","Baishicun Huashan","Hard Rock",28.32,114.56,"Producing","Open",NA,NA,NA,TRUE,47.3815261044177,34.155019645447,0,81.5365457498647,54619.982826945,58762.4366553375,65179.9524814241,4.07682728749323,1.01920682187331,19102.9684159287,0,"Report",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,30242.64376926,35765.91554045,44322.6033085655,"",19
117,"Canada","Separation Rapids","Hard Rock",50.26,-94.56,"Evaluation","Evaluation",NA,0.625836520685918,0.641044176706827,FALSE,0,63.5187575312888,17.7071139546549,81.2258714859438,54877.4673924243,58812.1962966455,65189.7881040431,4.06129357429719,1.0153233935743,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,36279.6835271078,41633.0561859122,50310.0518422355,"",22.3
118,"Chile","Salar Las Parinas","Brine",-25.83,-68.51,"No info","No Info",NA,NA,0.0306,FALSE,0,0,80.432,80.432,52440.0779690752,54433.5938403032,56268.8274128985,0.80432,0.20108,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23352.4276447311,26419.375138928,29242.8114044592,"",40.3
119,"Canada","Authier/La Motte/Colombe","Hard Rock",48.36,-78.19,"Evaluation","Evaluation",0.445943775100402,0.468818199398811,0.464524765729585,FALSE,50.3080321285141,15.9331994645248,13.9357429718875,80.1769745649264,57030.0374542946,61584.2085700602,61706.2404192161,4.00884872824632,1.00221218206158,19102.9684159287,126053693.925837,"Regression",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,39208.3502779519,45404.5014558642,45570.531182607,"",22.3
120,"Brazil","Colina","Hard Rock",-16.13,-42.12,"No info","No Info",NA,0.562074966532798,0.562074966532798,FALSE,0,11.6595716198126,62.8037483266399,74.4633199464525,61383.8601137781,67022.191462151,70634.9363972497,3.72316599732262,0.930791499330656,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,34533.500172391,43076.4264578046,48550.2824200754,"",56.2
121,"Australia","Mt. Cattlin","Hard Rock",-33.56,120.03,"Producing","Open",0.557429718875502,0.620140562248996,0.603882195448461,TRUE,38.7413654618474,24.4340026773762,7.89692101740295,71.0722891566265,49191.2843397731,53893.8044951425,54333.9092419719,5.63591959421379,1.40897989855345,19102.9684159287,0,"Report",3.30920952567997,3.80979945392875,5.63591959421379,3.80979945392875,3,"Hard Rock",18.8,1.57,0.3,17043.263342533,23761.149278775,24389.8703456741,"",18.1
122,"Canada","Root","Hard Rock",50.92,-91.57,"No info","No Info",NA,NA,0.562074966532798,FALSE,0,0,70.8214457831325,70.8214457831325,53247.6294980493,58211.7005338232,63587.6179321536,3.54107228915663,0.885268072289156,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,34062.2170041487,40816.0551480588,48130.2284791206,"",22.3
123,"Australia","Buldania","Hard Rock",-32.07,122.07,"No info","No Info",NA,0.464524765729585,0.464524765729585,FALSE,0,41.8072289156626,27.8714859437751,69.6787148594377,62582.2728457971,71647.6042961345,72409.355566304,3.48393574297189,0.870983935742972,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,36173.2469225673,49123.7204230492,50211.9365232915,"",18.1
124,"Canada","Georgia Lake","Hard Rock",49.46,-88.05,"Evaluation","Evaluation",NA,0.46819936462267,0.538848728246319,FALSE,0,31.1622793860628,35.8133658615945,66.9756452476573,48272.9919318841,52395.8322936855,58588.5282789844,3.34878226238286,0.837195565595716,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,27294.0026284138,32903.3092431096,41328.7459578019,"",22.3
125,"Finland","Ostrobothnia (All Projects)","Hard Rock",63.39162,23.50256,"Construction","Construction",0.4,0.5,0.4,TRUE,36.3720628045479,18.7120736329182,10.7275040606389,65.811640498105,47423.4598970882,54238.5817201287,57332.2310373697,3.29058202490525,0.822645506226313,19102.9684159287,0,"Report",0,0,1.23990231072703,2.47980462145407,5,"Hard Rock",19.8,1.61,0.2,31865.8748713602,40384.7771501608,44251.8387967121,"Ostrobothnia",19.7
126,"Australia","Dome North","Hard Rock",-31.77,121.61,"No info","No Info",NA,0.603882195448461,0.515622489959839,FALSE,0,32.5167336010709,30.6586345381526,63.1753681392236,61144.4008706668,64985.974773998,67375.1148282147,3.15876840696118,0.789692101740294,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,34119.1441009525,39607.1068199971,43020.1640403067,"",18.1
127,"United States","Big Sandy","Volcano-Sedimentary",34.6809492,-113.557467,"No info","No Info",NA,0.194,0.178,FALSE,0,28.4,31.9,60.3,53667.2666399412,58877.7116491045,65944.4522662618,1.809,0.45225,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",16,2.54,0.25,32521.0221865883,39468.282198806,48890.6030216824,"",16.5
128,"Chile","Salar de Cotacotani","Brine",-18.21,-69.34,"No info","No Info",NA,NA,0.0073,FALSE,0,0,60.2994694098538,60.2994694098538,52983.3472753972,54042.6068480882,57103.2963408569,0.602994694098538,0.150748673524635,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,24188.2265775342,25817.8566893665,30526.6097551645,"",40.3
129,"United Kingdom","Trevalour","Hard Rock",50.38,-4.87,"No info","No Info",NA,0,0.1114859437751,FALSE,0,57.6382329317269,0,57.6382329317269,54551.8887359341,59322.0184016123,65072.2919992258,2.88191164658635,0.720477911646586,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16.5,2,0.25,34238.7008313896,40598.8737189605,48265.9051824451,"",29.2
130,"China","Lijiagou","Hard Rock",31.14,105.11,"No info","No Info",NA,NA,NA,FALSE,0,0,53.038372,53.038372,60361.1021556424,64208.8393759077,70869.1277840359,2.6519186,0.66297965,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",22.1,2.94,0.25,37897.4695408565,43027.7858345436,51908.1703787145,"",19
131,"Canada","Thompson Brothers","Hard Rock",54.85,-99.72,"No info","No Info",NA,0.464524765729585,0.455234270414993,FALSE,0,42.3600133868809,8.94953413654618,51.309547523427,54066.1711427789,58133.8207150293,58397.8835631269,2.56547737617135,0.641369344042838,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,35175.8791058216,40710.0962109242,41069.3653920094,"",22.3
132,"Russia","Orlovka","Hard Rock",51.057,114.834,"No info","No Info",NA,NA,NA,FALSE,0,0,50.0362,50.0362,58327.3302538501,62868.5772463054,68832.8700181363,2.50181,0.6254525,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33766.3070051334,39821.3029950739,47773.6933575151,"",80
133,"Portugal","Sepeda/Romano","Hard Rock",41.730333,-7.726452,"No info","No Info",NA,NA,0.464524765729585,FALSE,0,0,47.8460508701473,47.8460508701473,53571.6147343085,58293.079304482,64638.3174255558,2.39230254350736,0.598075635876841,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",23.5,1.64,0.21,35469.892068745,41446.4294993443,49478.3764880453,"",34.9
134,"Canada","Seymour","Hard Rock",50.41,-88.45,"Evaluation","Evaluation",NA,0.557429718875502,0.325167336010709,FALSE,0,32.8353975903614,14.072313253012,46.9077108433735,52935.4694374934,60202.6801309409,66804.2513333817,2.34538554216867,0.586346385542169,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,33637.5094387665,43524.8709264502,52506.6004535806,"",22.3
135,"China","Shuinanduan","Hard Rock",28.36,114.59,"Producing","Open",NA,0.17540407866468,0.171874163319946,TRUE,0,31.7600227576975,14.8564310575636,46.616453815261,57049.092143282,63295.7979432138,63398.1759450528,2.33082269076305,0.582705672690763,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,33481.4561910427,41810.3972576184,41946.9012600703,"",19
136,"Argentina","Salar del Rincon (Argosy)","Brine",-24.12,-66.97,"Producing","Open",NA,NA,NA,TRUE,0,0,46.0512398484028,46.0512398484028,57209.17538125,58697.2726624588,61210.0801322458,1.87863986473793,0.469659966184482,56955.8377136237,0,"Report",0.336715328467153,0.490510948905109,1.31504790531655,1.87863986473793,3,"Brine",41,2.51,0.35,25775.962125,28065.3425576289,31931.200203455,"",64.1
137,"Canada","Fox Creek","Brine",54.436109,-116.872234,"No info","No Info",NA,NA,0.0072,FALSE,0,0,43.415,43.415,45222.5955194128,46782.825605352,49502.8110909355,0.43415,0.1085375,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23143.8034277726,25266.5654494585,28967.2259740619,"",22.3
138,"United States","Fort Cady","Volcano-Sedimentary",34.78,-116.43,"Construction","Construction",0.0367,0.0366883256528418,0.0322,TRUE,15.05067,5.10429,21.2764,41.43136,51961.8397956644,57202.3421258134,64328.8891758269,1.2429408,0.3107352,82730.3782542635,0,"Quantile",0,0,0,0.937253428517753,5,"Volcano-Sedimentary",16,2.54,0.25,30956.8530608859,37944.1895010845,47446.2522344359,"",16.5
139,"United States","Clayton Valley (Schlumberger)","Brine",37.7,-117.53,"Evaluation","Evaluation",NA,NA,0.0123,FALSE,0,0,40.9,40.9,45593.3791234938,47875.7493714105,49821.2355232625,0.409,0.10225,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",16,2.54,0.25,22522.3508313251,25565.5111618807,28159.4926976834,"",16.5
