"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
31,"Serbia","Jadar","Volcano-Sedimentary",44.42,19.52,"Evaluation","Evaluation",0.840789825970549,0.81756358768407,0.868661311914324,FALSE,139.571111111111,574.496358768407,485.8,1199.86746987952,47632.2553115907,56970.5830549568,61523.4813835663,35.9960240963855,8.99900602409639,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,8,"Volcano-Sedimentary",24.3,2.67,0.15,30988.5356606949,41974.8035940668,47331.1545689016,"Jadar",80
32,"Canada","Praire","Brine",50.44,-104.4,"No info","No Info",NA,0.0106,0.0101,FALSE,0,850,340,1190,38358.2382658694,39877.1071190003,39883.1120856122,11.9,2.975,56955.8377136237,199701729.182192,"Report",0,0,0,0,10,"Brine",20.4,1.73,0.265,13804.5418583257,15871.0300938779,15879.2001164792,"Praire",22.3
33,"United States","Zeus (Noram)","Volcano-Sedimentary",37.7727374,-117.5011243,"Evaluation","Evaluation",NA,0.0941646390879754,0.0871,FALSE,0,972.079,204.678,1176.757,42725.13269125,47884.0959041203,54997.4839005816,35.30271,8.8256775,82730.3782542635,2.5e+08,"Report",0,0,0,0,8,"Volcano-Sedimentary",16,2.54,0.25,18698.022255,25576.6398721604,35061.1572007754,"Zeus (Noram)",16.5
34,"Canada","Boardwalk","Brine",54.36,-116.91,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,1151,1151,45550.9216577039,46981.5640949414,49695.1335541713,34.53,8.6325,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",20.4,1.73,0.265,23590.50565674,25536.9579523011,29228.8891893487,"Boardwalk",22.3
35,"Argentina","Salar de Cauchari (Allkem)","Brine",-23.77,-66.8,"Evaluation","Evaluation",0.0501,0.0482988023952096,0.0473,FALSE,212,623,285,1120,53444.7318767249,53463.8624494077,53474.4707589937,11.2,2.8,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,19984.5105795768,20013.9422298579,20030.2627061441,"Salar de Cauchari (Allkem)",64.1
36,"Tanzania","Titan 2","Volcano-Sedimentary",-3.97,37.25,"No info","No Info",NA,NA,NA,FALSE,0,0,1102,1102,59418.5098945064,63167.138728161,70929.9698858896,33.06,8.265,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",45.5,2.77,0.3,34695.2998492949,40050.4838973728,51140.242694128,"Titan 2",80
37,"Australia","Kathleen Valley","Hard Rock",-27.48,120.55,"Construction","Construction",0.622463186077644,0.643587384921436,0.603882195448461,TRUE,426.082089692102,404.251587696581,162.355746975441,992.689424364123,59928.5650861329,64895.2513090995,65970.0482167595,49.6344712182062,12.4086178045515,19102.9684159287,0,"Regression",0,0,15.2534285177531,16.9481495397332,5,"Hard Rock",18.8,1.57,0.3,32382.2358373327,39477.5018701421,41012.9260239421,"",18.1
38,"Afghanistan","Nuristan","Hard Rock",35.38,71,"No info","No Info",NA,NA,NA,FALSE,0,0,987.033652,987.033652,57009.8920082616,64591.1427952698,68231.0926214856,49.3516826,12.33792065,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",55.9,5.05,0.2,34666.740010327,44143.3034940873,48693.240776857,"",80
39,"Argentina","Diablillios/Sal de Los Angeles","Brine",-25.24,-66.76,"Construction","Construction",NA,NA,0.0556,TRUE,0,0,930,930,55622.1356631927,58127.6103638159,59264.0475093097,27.9,6.975,56955.8377136237,0,"Quantile",0,0,3.75727972947586,9.39319932368965,5,"Brine",41,2.51,0.35,23334.3625587579,27188.9390212552,28937.3038604765,"",64.1
40,"Argentina","Pastos Grandes (Lithium Americas)","Brine",-24.53,-66.73,"Evaluation","Evaluation",0.0439,NA,NA,FALSE,177,593.276123443422,149.922035733622,920.198159177044,53564.1136147814,54681.5253045926,57185.693696562,9.20198159177044,2.30049539794261,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,20168.1747919714,21887.2696993732,25739.8364562492,"",64.1
