"t","Scenario","Demand"
2028,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",453.530855758436
2028,"Ambitious-Baseline-High Capacity-Baseline-Baseline",537.485103807205
2028,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",405.602425520454
2028,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",401.806534023116
2028,"Ambitious-Double LFP-Baseline-Baseline-Baseline",452.108549552616
2028,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",454.032105513978
2028,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",454.997023448232
2028,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",454.997023448232
2029,"Ambitious-Baseline-Baseline-Baseline-Baseline",554.683314784278
2029,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",555.23772427354
2029,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",547.038209467201
2029,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",552.088969170371
2029,"Ambitious-Baseline-High Capacity-Baseline-Baseline",674.402159308166
2029,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",482.349143942673
2029,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",475.906047599043
2029,"Ambitious-Double LFP-Baseline-Baseline-Baseline",550.896760584059
2029,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",553.365525712577
2029,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",554.683314784278
2029,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",554.683314784278
2030,"Ambitious-Baseline-Baseline-Baseline-Baseline",694.540128162061
2030,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",695.213917886347
2030,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",681.797023884165
2030,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",690.490131517465
2030,"Ambitious-Baseline-High Capacity-Baseline-Baseline",866.352064423601
2030,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",589.495142765526
2030,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",580.0458432315
2030,"Ambitious-Double LFP-Baseline-Baseline-Baseline",689.592865226528
2030,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",692.772882650808
2030,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",689.831531156811
2030,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",702.580025911998
2031,"Ambitious-Baseline-Baseline-Baseline-Baseline",762.352123479878
2031,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",763.254351568404
2031,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",741.907264297747
2031,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",756.245534160575
2031,"Ambitious-Baseline-High Capacity-Baseline-Baseline",975.045127088779
2031,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",632.727102558293
2031,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",619.147191443154
2031,"Ambitious-Double LFP-Baseline-Baseline-Baseline",756.584351258743
2031,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",760.459372066779
2031,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",751.892540932386
2031,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",779.826270828601
2032,"Ambitious-Baseline-Baseline-Baseline-Baseline",835.172697817011
2032,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",836.47324387959
2032,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",805.726596710451
2032,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",826.667870610705
2032,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1095.00726622701
2032,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",676.519682023363
2032,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",658.820862555264
2032,"Ambitious-Double LFP-Baseline-Baseline-Baseline",828.494740128134
2032,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",833.127046842893
2032,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",818.159198222485
2032,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",863.551083805006
2033,"Ambitious-Baseline-Baseline-Baseline-Baseline",916.138302013251
2033,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",917.927258327777
2033,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",875.985320531532
2033,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",904.896831391406
2033,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1229.87104985227
2033,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",723.190346698587
2033,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",700.125630200791
2033,"Ambitious-Double LFP-Baseline-Baseline-Baseline",908.486153940778
2033,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",913.969667189785
2033,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",891.323924152312
2033,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",957.658622527946
2034,"Ambitious-Baseline-Baseline-Baseline-Baseline",1000.30384973196
2034,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1002.69476784855
2034,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",947.312890672681
2034,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",985.845247733965
2034,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1373.79975979778
2034,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",770.012853761028
2034,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",740.008831131295
2034,"Ambitious-Double LFP-Baseline-Baseline-Baseline",991.613895552131
2034,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",998.108885600897
2034,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",966.003576891924
2034,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1056.15233857648
2035,"Ambitious-Baseline-Baseline-Baseline-Baseline",1080.27320456765
2035,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1083.69063386886
2035,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1010.64272626159
2035,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1061.82606012024
2035,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1520.73649761575
2035,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",807.648987827608
2035,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",768.726217551144
2035,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1070.5589053271
2035,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1078.09230821294
2035,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1036.65762627615
2035,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1151.86429513999
2036,"Ambitious-Baseline-Baseline-Baseline-Baseline",1134.57025170612
2036,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1138.65576421998
2036,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1045.28236940285
2036,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1111.60795363363
2036,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1595.23899667085
2036,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",850.688823884071
2036,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",801.892388840179
2036,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1124.22782095844
